"array","year","site","n_weeks","deer_present","wolf_present"
"LU15",2023,"LU15_17",14,0,0
"LU15",2023,"LU15_18",14,1,3
"LU15",2023,"LU15_19",14,0,0
"LU15",2023,"LU15_20",14,6,4
"LU15",2023,"LU15_21",14,2,1
"LU15",2023,"LU15_22",14,9,0
"LU15",2023,"LU15_23",14,5,1
"LU15",2023,"LU15_24",14,5,0
"LU15",2023,"LU15_25",14,0,0
"LU15",2023,"LU15_26",14,0,2
"LU15",2023,"LU15_27",14,0,5
"LU15",2023,"LU15_28",14,0,0
"LU15",2023,"LU15_29",14,0,0
"LU15",2023,"LU15_30",14,1,0
"LU15",2023,"LU15_31",14,0,0
"LU15",2023,"LU15_32",14,2,0
"LU15",2023,"LU15_34",14,0,1
"LU15",2023,"LU15_36",14,0,0
"LU15",2023,"LU15_37",14,0,0
"LU15",2023,"LU15_40",14,1,0
"LU15",2023,"LU15_41",14,8,0
"LU15",2023,"LU15_43",14,0,0
"LU15",2023,"LU15_44",14,0,1
"LU15",2023,"LU15_46",14,5,1
"LU15",2023,"LU15_58",14,1,6
"LU15",2023,"LU15_61",14,11,0
"LU16",2024,"LU16_02",16,0,0
"LU16",2024,"LU16_03",16,0,0
"LU16",2024,"LU16_15",16,0,0
"LU16",2024,"LU16_20",16,0,0
"LU16",2024,"LU16_200",16,1,0
"LU16",2024,"LU16_201",16,1,0
"LU16",2024,"LU16_202",16,0,0
"LU16",2024,"LU16_203",16,1,0
"LU16",2024,"LU16_22",16,0,0
"LU16",2024,"LU16_23",15,0,0
"LU16",2024,"LU16_24",16,0,0
"LU16",2024,"LU16_25",16,6,0
"LU16",2024,"LU16_26",16,0,0
"LU16",2024,"LU16_270",16,11,0
"LU16",2024,"LU16_28",16,3,0
"LU16",2024,"LU16_300",16,0,0
"LU16",2024,"LU16_301",16,0,0
"LU16",2024,"LU16_302",16,0,0
"LU16",2024,"LU16_303",16,0,0
"LU16",2024,"LU16_313",16,8,0
"LU16",2024,"LU16_314",16,0,0
"LU16",2024,"LU16_36",16,2,0
"LU16",2024,"LU16_37",16,2,0
"LU16",2024,"LU16_49",16,4,0
"LU16",2024,"LU16_52",16,3,0
"LU16",2024,"LU16_54",16,3,0
"LU16",2024,"LU16_57",16,8,0
"LU16",2024,"LU16_58",16,3,0
"LU16",2024,"LU16_60",16,2,0
"LU16",2024,"LU16_62",16,4,0
"LU16",2024,"LU16_63",16,1,0
"LU16",2024,"LU16_67",16,0,0
"LU16",2024,"LU16_68",16,0,0
"LU16",2024,"LU16_69",16,0,0
"LU16",2024,"LU16_70",16,1,0
"LU16",2024,"LU16_71",16,1,0
"LU16",2024,"LU16_72",16,1,0
"LU16",2024,"LU16_73",16,0,0
"LU16",2024,"LU16_74",16,1,0
"LU16",2024,"LU16_75",16,2,0
"LU16",2024,"LU16_77",16,0,0
"LU16",2024,"LU16_80",16,0,0
"LU16",2024,"LU16_81",16,0,0
"LU16",2024,"LU16_83",16,0,0
"LU16",2024,"LU16_84",16,2,0
"LU16",2024,"LU16_85",16,5,0
"LU16",2024,"LU16_88",16,0,0
"LU21",2022,"LU21_06",2,0,0
"LU21",2022,"LU21_09",1,0,0
"LU21",2022,"LU21_10",1,0,0
"LU21",2022,"LU21_100",2,1,0
"LU21",2022,"LU21_105",2,0,0
"LU21",2022,"LU21_106",1,0,0
"LU21",2022,"LU21_107",1,0,0
"LU21",2022,"LU21_109",2,0,0
"LU21",2022,"LU21_114",2,0,0
"LU21",2022,"LU21_116",2,1,0
"LU21",2022,"LU21_119",1,0,0
"LU21",2022,"LU21_122",1,0,0
"LU21",2022,"LU21_126",1,0,0
"LU21",2022,"LU21_14",1,1,0
"LU21",2022,"LU21_153",2,0,0
"LU21",2022,"LU21_16",1,0,0
"LU21",2022,"LU21_164",1,1,0
"LU21",2022,"LU21_21",1,0,0
"LU21",2022,"LU21_23",1,0,0
"LU21",2022,"LU21_27",1,0,0
"LU21",2022,"LU21_32",1,0,0
"LU21",2022,"LU21_36",1,1,0
"LU21",2022,"LU21_41",1,0,0
"LU21",2022,"LU21_52",1,0,0
"LU21",2022,"LU21_56",1,0,0
"LU21",2022,"LU21_57",1,0,0
"LU21",2022,"LU21_59",2,0,0
"LU21",2022,"LU21_63",1,0,0
"LU21",2022,"LU21_68",2,0,1
"LU21",2022,"LU21_74",2,1,0
"LU21",2022,"LU21_78",2,0,0
"LU21",2022,"LU21_82",1,0,0
"LU21",2022,"LU21_871",1,1,0
"LU21",2022,"LU21_93",2,2,0
"LU21",2022,"LU21_97",2,1,0
"LU21",2022,"LU21_98",1,1,0
"LU21",2023,"LU21_06",17,3,1
"LU21",2023,"LU21_09",16,8,1
"LU21",2023,"LU21_10",16,11,1
"LU21",2023,"LU21_100",16,1,4
"LU21",2023,"LU21_105",17,1,0
"LU21",2023,"LU21_106",16,6,0
"LU21",2023,"LU21_107",16,5,0
"LU21",2023,"LU21_109",16,1,0
"LU21",2023,"LU21_114",17,2,0
"LU21",2023,"LU21_116",17,6,0
"LU21",2023,"LU21_119",17,5,0
"LU21",2023,"LU21_122",16,6,0
"LU21",2023,"LU21_126",16,0,0
"LU21",2023,"LU21_14",16,7,1
"LU21",2023,"LU21_153",17,0,0
"LU21",2023,"LU21_16",16,1,0
"LU21",2023,"LU21_164",16,7,0
"LU21",2023,"LU21_21",16,9,0
"LU21",2023,"LU21_23",16,1,0
"LU21",2023,"LU21_27",16,0,0
"LU21",2023,"LU21_32",16,0,0
"LU21",2023,"LU21_36",16,9,1
"LU21",2023,"LU21_41",16,0,0
"LU21",2023,"LU21_52",16,4,0
"LU21",2023,"LU21_56",16,7,0
"LU21",2023,"LU21_57",16,4,0
"LU21",2023,"LU21_59",17,5,0
"LU21",2023,"LU21_63",16,0,0
"LU21",2023,"LU21_68",17,2,0
"LU21",2023,"LU21_74",16,6,0
"LU21",2023,"LU21_78",17,12,0
"LU21",2023,"LU21_82",16,9,0
"LU21",2023,"LU21_871",16,14,1
"LU21",2023,"LU21_93",17,14,0
"LU21",2023,"LU21_97",17,6,0
"LU21",2023,"LU21_98",16,1,0
"LU22",2023,"LU22_04",1,0,0
"LU22",2023,"LU22_05",1,0,0
"LU22",2023,"LU22_06",1,0,0
"LU22",2023,"LU22_07",1,0,0
"LU22",2023,"LU22_08",1,0,0
"LU22",2023,"LU22_101",1,0,0
"LU22",2023,"LU22_103",1,0,0
"LU22",2023,"LU22_107",1,0,0
"LU22",2023,"LU22_11",1,0,0
"LU22",2023,"LU22_110",1,0,0
"LU22",2023,"LU22_15",1,0,0
"LU22",2023,"LU22_17",1,0,0
"LU22",2023,"LU22_18",1,0,0
"LU22",2023,"LU22_21",1,0,0
"LU22",2023,"LU22_22",1,0,0
"LU22",2023,"LU22_25",1,0,0
"LU22",2023,"LU22_29",1,0,0
"LU22",2023,"LU22_30",1,0,0
"LU22",2023,"LU22_32",1,0,0
"LU22",2023,"LU22_33",1,0,0
"LU22",2023,"LU22_34",1,0,0
"LU22",2023,"LU22_35",1,0,0
"LU22",2023,"LU22_36",1,0,0
"LU22",2023,"LU22_38",1,0,0
"LU22",2023,"LU22_40",1,0,0
"LU22",2023,"LU22_44",1,0,0
"LU22",2023,"LU22_46",1,0,0
"LU22",2023,"LU22_47",1,0,0
"LU22",2023,"LU22_48",1,0,0
"LU22",2023,"LU22_49",1,0,0
"LU22",2023,"LU22_50",1,0,0
"LU22",2023,"LU22_53",1,0,0
"LU22",2023,"LU22_60",1,0,0
"LU22",2023,"LU22_61",1,0,0
"LU22",2023,"LU22_63",1,0,0
"LU22",2023,"LU22_65",1,0,0
"LU22",2023,"LU22_69",1,0,0
"LU22",2023,"LU22_70",1,0,0
"LU22",2023,"LU22_71",1,0,0
"LU22",2023,"LU22_72",1,0,0
"LU22",2023,"LU22_76",1,0,0
"LU22",2023,"LU22_77",1,0,0
"LU22",2023,"LU22_80",1,0,0
"LU22",2023,"LU22_81",1,0,0
"LU22",2023,"LU22_82",1,0,0
"LU22",2023,"LU22_85",1,0,0
"LU22",2023,"LU22_86",1,0,0
"LU22",2023,"LU22_87",1,0,0
"LU22",2023,"LU22_89",1,0,0
"LU22",2023,"LU22_94",1,0,0
"LU22",2024,"LU22_04",13,0,0
"LU22",2024,"LU22_05",13,0,0
"LU22",2024,"LU22_07",13,0,1
"LU22",2024,"LU22_08",13,1,0
"LU22",2024,"LU22_101",13,0,1
"LU22",2024,"LU22_103",13,2,0
"LU22",2024,"LU22_107",13,3,0
